sku_bw,designation,machines,fournisseur,ref_fournisseur,designation_fournisseur,prix_catalogue,devise,remise
BW-1039,"Stainless-steel side panel, right",BOX 80 I,Italbedis,103084,PARATIA DX INOX ICE 80 2018,45.24,EUR,0.6
BW-1040,"Stainless-steel side panel, left",BOX 80 I,Italbedis,103085,PARATIA SX INOX ICE 80 2018,45.24,EUR,0.6
BW-1041,Motor bracket,BOX 80 I,Italbedis,103087,STAFFA MOTORE ICE 80 2018,22.0,EUR,0.6
BW-1042,Wiring harness,BOX 80 I; BOX 120 I,Italbedis,480027,CABLAGGIO ICE 2018,28.0,EUR,0.6
BW-1043,"Evaporator, complete",BOX 80 I,Italbedis,810086,EVAPORATORE AI 80 COMP,119.6,EUR,0.6
BW-1044,Earth / ground wiring harness,BOX 80 I; BOX 120 I,Italbedis,480023,CABLAGGIO TERRE,3.0,EUR,0.6
BW-1045,"Cooling coil, complete",BOX 80 I,Italbedis,810092,SERPENTINA AI 80 COMP,72.0,EUR,0.6
BW-1046,Coil spacer,BOX 80 I; BOX 120 I,Italbedis,201080,DISTANZIALE SERPENTINA AI 40 / AI 80,2.0,EUR,0.6
BW-1047,Square threaded insert,BOX 80 I; BOX 120 I,Italbedis,631007,INSERTO QUADRATO JET / AI,0.2,EUR,0.6
BW-1048,"Earth / ground rivet, 4-way",BOX 80 I; BOX 120 I,Italbedis,630008,RIVETTO TERRA 4 VIE,0.5,EUR,0.6
BW-1049,Time-delay fuse 5 A,BOX 80 I,Italbedis,485030,FUSIBILE RITARDATO 5 A,0.36,EUR,0.6
BW-1050,Illuminated double-pole switch I/O,BOX 80 I; BOX 120 I,Italbedis,431007,INTERRUTTORE BIPOL. LUMINOSO I/O,3.64,EUR,0.6
BW-1051,"Rubber foot Ø30, steel M6x1",BOX 80 I; BOX 120 I,Italbedis,202020,PIEDINO RUBBER FOOT D.30 STEEL M6X1,6.62,EUR,0.6
BW-1052,Condenser,BOX 120 I,Italbedis,111012,CONDENSATORE AI120,78.0,EUR,0.6
BW-1053,Pump 200 L/h,BOX 120 I,Italbedis,408017,POMPA 200 LT/H,114.0,EUR,0.6
BW-1054,Carbonator,BOX 120 I,Italbedis,390000,GASATORE AI120/150,187.2,EUR,0.6
BW-1055,Agitator bracket,BOX 120 I,Italbedis,103093,STAFFA AGITATORE ICE 120 2018,18.0,EUR,0.6
